[2022-03-20 12:30:51] 302 POST : /login 0,109ms.
[2022-03-20 12:30:51] 200 GET : / 0,006ms.
[2022-03-20 12:30:52] 200 GET : /profile 0,008ms.
[2022-03-20 12:30:53] 302 POST : /update-profile 0,009ms.
[2022-03-20 12:30:53] 500 GET : /profile 0,018ms.
[2022-03-20 12:31:33] 200 GET : /profile 0,037ms.
[2022-03-20 12:31:35] 302 POST : /update-profile 0,009ms.
[2022-03-20 12:31:35] 200 GET : /profile 0,009ms.
[2022-03-20 12:31:39] 200 GET : /profile 0,01ms.
[2022-03-20 12:31:45] 302 POST : /update-profile 0,008ms.
[2022-03-20 12:31:45] 200 GET : /profile 0,008ms.
[2022-03-20 12:32:03] 200 GET : /profile 0,009ms.
[2022-03-20 12:32:05] 302 GET : /logout 0,011ms.
[2022-03-20 12:32:05] 200 GET : / 0,006ms.
[2022-03-20 12:32:11] 302 POST : /login 0,018ms.
[2022-03-20 12:32:11] 200 GET : / 0,013ms.
[2022-03-20 12:32:15] 304 GET : /profile 0,006ms.
[2022-03-20 12:32:28] 302 GET : /logout 0,006ms.
[2022-03-20 12:32:28] 200 GET : / 0,005ms.
[2022-03-20 12:32:38] 302 POST : /login 0,079ms.
[2022-03-20 12:32:38] 200 GET : / 0,006ms.
[2022-03-20 12:32:40] 304 GET : /create-entries 0,01ms.
[2022-03-20 12:32:41] 304 GET : /create-category 0,007ms.
[2022-03-20 12:32:42] 200 GET : /profile 0,013ms.
[2022-03-20 12:32:55] 302 GET : /logout 0,023ms.
[2022-03-20 12:32:55] 200 GET : / 0,014ms.
[2022-03-20 12:32:58] 200 POST : /search 0,01ms.
[2022-03-20 12:33:03] 200 POST : /search 0,006ms.
[2022-03-20 12:34:18] 304 GET : / 0,075ms.
[2022-03-20 12:34:23] 404 GET : /test 0,008ms.
[2022-03-20 12:34:28] 304 GET : / 0,007ms.
[2022-03-20 12:35:44] 304 GET : / 0,07ms.
[2022-03-20 12:35:45] 200 GET : /entry?id=16 0,008ms.
[2022-03-20 12:35:46] 200 GET : /category?id=7 0,012ms.
[2022-03-20 12:35:47] 304 GET : /entry?id=16 0,008ms.
[2022-03-20 12:35:50] 200 GET : /category?id=1 0,014ms.
[2022-03-20 12:35:51] 304 GET : /category?id=2 0,031ms.
[2022-03-20 12:35:52] 200 GET : /category?id=3 0,008ms.
[2022-03-20 12:35:57] 302 POST : /login 0,008ms.
[2022-03-20 12:35:57] 200 GET : / 0,007ms.
[2022-03-20 12:36:02] 200 GET : /category?id=3 0,013ms.
[2022-03-20 12:36:03] 200 GET : /entry?id=4 0,008ms.
[2022-03-20 12:36:06] 200 GET : /edit-entry?id=4 0,01ms.
[2022-03-20 12:36:11] 302 POST : /update-entries?id=4 0,006ms.
[2022-03-20 12:36:12] 200 GET : /edit-entry?id=4 0,009ms.
[2022-03-20 12:36:15] 200 GET : /category?id=3 0,009ms.
[2022-03-20 12:36:17] 304 GET : / 0,015ms.
[2022-03-20 12:36:19] 200 GET : /entries 0,013ms.
[2022-03-20 12:36:22] 200 GET : /entry?id=3 0,006ms.
